state,user_facing_bh,occasions,participants,pct_of_all_occasions,contract
A,evidence_available,105,59,0.3,templated message only; no numbers
A,no_claim,375,150,1.06,templated message only; no numbers
B,evidence_available,3450,64,9.76,"descriptive only; no comparison, no relationship claim"
B,no_claim,7859,151,22.23,"descriptive only; no comparison, no relationship claim"
C,evidence_available,8454,64,23.92,comparison permitted; hedged relationship claim permitted
C,no_claim,15105,148,42.73,comparison permitted; relationship claim forbidden
