calendar_days,ema_count_total,recency_n_valid_days,recency_mean,baseline28_n_valid_days,baseline28_ema_count,baseline56_n_valid_days,baseline56_ema_count,historical_gate_met,state,baseline_mean,baseline_sd,deviation_z,deviation_pct,meaningful_change,uid,report_date,reason
328,44,7.0,39487.57137375857,28.0,4.0,49.0,11.0,True,C,34482.3000835525,43882.22214330629,0.11406148197920195,14.515479762307097,False,1c12f39481a6c09da17bd4e6bebed9a2,2018-08-13,
208,38,6.0,68245.38631417167,25.0,4.0,53.0,9.0,True,C,34616.60203620797,75297.52006284014,0.44661210953426533,97.14640461472491,False,9e9e21ee5dbdb37ffda3225cd0403d34,2018-04-15,
1189,108,6.0,18924.89625145,4.0,2.0,4.0,2.0,False,B,,,,,,59256b077a34f2f4ed7bbf7670e53786,2021-01-12,partial history: below 28-day comparative gate
821,119,0.0,,0.0,1.0,0.0,6.0,False,B,,,,,,76b564dca3ab4d899e5a30d3cbcb0aac,2019-12-26,partial history: below 28-day comparative gate
1338,220,7.0,64731.31508536286,26.0,5.0,54.0,9.0,True,C,64090.82716374115,92861.79495138313,0.006897216685904357,0.999344133888881,False,d2c8a48736cfe925440115558db860ee,2021-06-15,
1195,106,6.0,161923.432063225,25.0,1.0,52.0,3.0,False,B,,,,,,1fff60a0795f79ab1f9432d2cb1f56ee,2021-01-08,partial history: below 28-day comparative gate
1340,148,0.0,,0.0,4.0,0.0,7.0,False,B,,,,,,34ed21e64b190dc037d35ef7f646feb8,2021-06-11,partial history: below 28-day comparative gate
322,39,7.0,134891.35061642856,25.0,1.0,50.0,2.0,False,B,,,,,,a4dde9659b38b613f08b37c0c8bfa9eb,2018-11-24,partial history: below 28-day comparative gate
137,13,6.0,6970.598043555,13.0,2.0,35.0,4.0,False,B,,,,,,07eab8e219b6a4dcd45167dc216e1189,2018-02-11,partial history: below 28-day comparative gate
1357,168,7.0,28387.565940628567,28.0,2.0,56.0,3.0,False,B,,,,,,45555d3305e255895b11695c179a98cd,2021-06-15,partial history: below 28-day comparative gate
8,0,,,,,,,,A,,,,,,df5e798581def8d477316520953b9171,2017-10-09,below no-data threshold
1096,205,7.0,1366.5593600025713,7.0,4.0,23.0,10.0,False,B,,,,,,f0db9e3e8b9b5080e5752383cceb34f6,2020-10-08,partial history: below 28-day comparative gate
1347,199,7.0,129435.731468,28.0,5.0,56.0,10.0,True,C,21879.476248461782,71867.9019001086,1.496582652002753,491.5851458149043,True,5fa34bfca33d0ced12ea991006fbc934,2021-06-15,
1346,193,7.0,123184.0016525,27.0,4.0,55.0,9.0,True,C,61652.62673299297,84754.62712675786,0.7259942849784655,99.80333066097725,False,f17129feb37d5dcec17728f50d7beb95,2021-06-15,
160,25,7.0,78612.03544585714,27.0,4.0,55.0,8.0,True,C,7174.275847514755,17615.294599334935,4.0554393907803,995.748715504007,True,8733d6d19519598608c6dc2f9ee525d7,2018-03-24,
1340,107,7.0,71497.45722110858,21.0,2.0,37.0,4.0,False,B,,,,,,3d1a8b919f65dd22f661468f79b9b107,2021-06-15,partial history: below 28-day comparative gate
1346,250,0.0,,0.0,4.0,0.0,9.0,False,B,,,,,,87d88cba80cd67d705f61405fbe40da9,2021-06-15,partial history: below 28-day comparative gate
752,37,0.0,,5.0,0.0,29.0,0.0,False,B,,,,,,c4de76cb7f30c4073617bfb80fabaec6,2019-11-06,partial history: below 28-day comparative gate
1181,172,4.0,5753.1675873275,28.0,6.0,56.0,11.0,True,C,8275.5480175825,22245.519216148812,-0.11338824712276953,-30.479920180462585,False,f3e1995993cccfe83056a8deb2e315ff,2021-01-08,
1187,122,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,bd441b322153093e69f107a36a9b15d6,2021-01-13,partial history: below 28-day comparative gate
1281,152,7.0,85422.43240719571,27.0,1.0,55.0,2.0,False,B,,,,,,13789d5f8a59f1e347e42b99233530d6,2021-06-15,partial history: below 28-day comparative gate
1180,154,6.0,157055.064846489,27.0,2.0,54.0,6.0,False,B,,,,,,cf007be9a060b779cf5a71b3e59a9d5b,2021-01-08,partial history: below 28-day comparative gate
1344,246,7.0,46239.74956748424,28.0,6.0,56.0,13.0,True,C,9504.462189698464,16941.67831806416,2.1683381473851124,386.505692216881,True,17fb1517cc9d7e416782bffb8edd9070,2021-06-15,
1339,188,0.0,,0.0,4.0,0.0,9.0,False,B,,,,,,e8811b53add5bfb32640af600ba33399,2021-06-15,partial history: below 28-day comparative gate
1338,181,6.0,68781.17890010659,28.0,1.0,56.0,3.0,False,B,,,,,,2cc3f6274987ee627ab9be37181536eb,2021-06-15,partial history: below 28-day comparative gate
1094,167,0.0,,0.0,0.0,15.0,0.0,False,B,,,,,,1618e7f7049efc1a0fbe48af6fda8e57,2020-10-16,partial history: below 28-day comparative gate
1333,97,6.0,63196.335378733325,24.0,0.0,50.0,0.0,False,B,,,,,,031cf9537e5da78c5a69a10cba088c94,2021-06-15,partial history: below 28-day comparative gate
1326,188,0.0,,0.0,4.0,0.0,7.0,False,B,,,,,,7e22b6d9cb821d7004409da02d95cb64,2021-06-15,partial history: below 28-day comparative gate
1174,159,0.0,,0.0,1.0,0.0,2.0,False,B,,,,,,ac02afb2367b89fdcab1b1245e195b27,2021-01-08,partial history: below 28-day comparative gate
1333,166,0.0,,0.0,0.0,0.0,1.0,False,B,,,,,,30b497738f121ad199afb509889f6cfe,2021-06-15,partial history: below 28-day comparative gate
1331,271,7.0,66836.23284550001,28.0,5.0,56.0,8.0,True,C,9891.434953074287,7965.608070717363,7.14883250429586,575.6980474782085,True,422875809be551a4ec179466aa8300ba,2021-06-15,
451,45,6.0,55692.93463235,27.0,0.0,51.0,0.0,False,B,,,,,,da130c5ecc942e7cd705585222a42adf,2019-01-16,partial history: below 28-day comparative gate
1323,387,7.0,77796.52426247428,28.0,9.0,56.0,17.0,True,C,42049.65944369428,76515.01688927988,0.4671875701276661,85.01106855965406,False,73e13f8273906f7f43a077f95ec48e7d,2021-06-15,
1153,180,7.0,26626.691210707144,28.0,3.0,56.0,7.0,False,C,41143.12444173714,37281.10943167188,-0.38937771574731284,-35.28276820975701,False,b3db52ffec3adfc49eb061af2f2f2846,2021-01-08,
1076,71,0.0,,0.0,0.0,14.0,0.0,False,B,,,,,,690d25f3b083e647278ed85c6bb033ae,2020-10-08,partial history: below 28-day comparative gate
1184,151,0.0,,0.0,1.0,0.0,3.0,False,B,,,,,,5a254d648a95146b403690f81da84bc3,2021-01-17,partial history: below 28-day comparative gate
878,93,0.0,,0.0,1.0,0.0,7.0,False,B,,,,,,db8df8be53722b041b1e649ae0c0b5d4,2020-03-27,partial history: below 28-day comparative gate
1322,103,0.0,,27.0,0.0,55.0,0.0,False,B,,,,,,3e7ca3545ad22d036db36c4f1e9f2e18,2021-06-14,partial history: below 28-day comparative gate
579,78,7.0,2755.83615325,28.0,0.0,56.0,0.0,False,B,,,,,,8feafc5db9bf59d00a21335e69b57804,2019-05-31,partial history: below 28-day comparative gate
212,27,7.0,8218.87582971663,28.0,4.0,50.0,7.0,False,C,24261.277525374288,66386.50884194464,-0.24165153395627384,-66.12348289936214,False,91d30de367a6a0772fdca55ec5b129a2,2018-05-29,
1333,220,0.0,,0.0,3.0,0.0,8.0,False,B,,,,,,c0fec81b63a711ebc1c29a5df6e21b07,2021-06-15,partial history: below 28-day comparative gate
82,9,6.0,6260.088198418333,26.0,1.0,52.0,4.0,False,B,,,,,,c0b0998fe60a905081764378d1102494,2018-01-14,partial history: below 28-day comparative gate
1324,197,7.0,141417.58439275716,28.0,5.0,56.0,9.0,True,C,30252.17083771141,60088.77508329768,1.8500196318021693,367.4626001267665,True,8ccf6026d9114437e881d73faa34ea51,2021-06-15,
1325,241,0.0,,0.0,6.0,0.0,10.0,False,B,,,,,,8c0c301d93ca93cae5c090caf21816ec,2021-06-15,partial history: below 28-day comparative gate
1323,111,7.0,76130.08656237143,28.0,3.0,56.0,4.0,False,C,56271.472265482145,73867.59825142304,0.26884066582612515,35.29073169295926,False,db422d4921bbfae5352fdc90cea7bd07,2021-06-15,
1336,231,6.0,29231.791684933338,28.0,5.0,56.0,10.0,True,C,33961.25187945607,32900.35376713035,-0.1437510437729024,-13.926047871585345,False,86a13f6d0bb7070ca042d60b2a582c4c,2021-06-15,
